지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,2015-01-01 10:00,-8.6,,5.4,290,38,1.2,-20.4,1014.3,1025.6,1,0.8,,,0,0,,,2000,,42,-3,-3.9,-2.7,-0.4,0.7
108,2015-01-01 11:00,-7.9,,4.5,290,36,1.2,-20.3,1014.3,1025.5,1,1.24,,,0,0,,,2000,,,-0.2,-2.8,-2.3,-0.4,0.6
108,2015-01-01 12:00,-6.7,,4.2,290,33,1.2,-20.3,1014,1025.2,1,1.55,,,0,0,,,2000,,,0.2,-1.9,-1.8,-0.4,0.6
108,2015-01-01 13:00,-6.2,,6,320,33,1.3,-19.8,1013.2,1024.3,1,1.7,,,0,0,,,2000,,,0.8,-1.3,-1.4,-0.3,0.6
108,2015-01-01 14:00,-5.4,,5.7,290,34,1.4,-18.8,1013.1,1024.2,1,1.61,,,0,0,,,2000,,,0.6,-0.9,-1.1,-0.3,0.6
108,2015-01-01 15:00,-4.3,,4.4,270,33,1.5,-18.2,1012.9,1024,1,1.33,,,0,0,,,2000,4,,0.5,-0.7,-0.9,-0.2,0.6
108,2015-01-01 16:00,-4.6,,5.2,250,36,1.6,-17.4,1013.5,1024.6,1,0.87,,,1,1,Sc,10,2000,,,0.2,-0.8,-0.8,-0.2,0.6
108,2015-01-01 17:00,-5.7,,4.9,250,39,1.6,-17.4,1013.8,1024.9,1,0.37,,,0,0,,,2000,,,-1.5,-1.3,-0.9,-0.1,0.6
108,2015-01-01 18:00,-6.7,,4.2,250,44,1.6,-16.9,1014.5,1025.7,0.1,0.03,,,0,0,,,2000,,,-3,-2,-1.1,-0.2,0.6
108,2015-01-01 19:00,-7.2,,5.4,290,46,1.6,-16.8,1014.9,1026.1,,,,,,,,,,,,-4,-2.7,-1.4,-0.2,0.6
108,2015-01-01 20:00,-7.7,,2.4,290,49,1.7,-16.5,1015,1026.2,,,,,,,,,,,,-4.9,-3.5,-1.8,-0.3,0.5
108,2015-01-01 21:00,-8.3,,3.2,290,52,1.7,-16.4,1014.9,1026.2,,,,,0,0,,,2000,4,,-5.5,-4,-2.1,-0.4,0.6
108,2015-01-01 22:00,-8.5,,5.5,290,50,1.6,-17,1015.3,1026.6,,,,,,,,,,,,-6,-4.4,-2.5,-0.5,0.5
108,2015-01-01 23:00,-8.6,,4,270,52,1.7,-16.7,1015.2,1026.5,,,,,,,,,,,,-5.8,-4.5,-2.7,-0.5,0.5
108,2015-01-02 0:00,-8.7,,2.4,270,55,1.7,-16.1,1014.8,1026.1,,,,,6,0,Ci,,2000,,,-5.9,-4.6,-2.8,-0.7,0.5
108,2015-01-02 1:00,-8.6,,1.1,340,57,1.8,-15.6,1014.7,1026,,,,,,,,,,,,-5.5,-4.3,-2.8,-0.8,0.5
108,2015-01-02 2:00,-8.5,,1.8,270,56,1.8,-15.7,1014.5,1025.8,,,,,,,,,,,,-5.2,-4.2,-2.8,-0.8,0.5
108,2015-01-02 3:00,-8.6,,1.7,250,57,1.8,-15.6,1014.6,1025.9,,,,,4,4,Ac,32,2000,4,,-5.7,-4.4,-2.8,-0.8,0.4
108,2015-01-02 4:00,-8.5,,2.2,250,59,1.9,-15,1013.8,1025.1,,,,,6,6,Ac,32,1800,,,-5.6,-4.5,-3,-0.9,0.4
108,2015-01-02 5:00,-8.4,,1.7,270,59,1.9,-14.9,1013.8,1025,,,,,4,4,Ac,32,1800,,,-5.5,-4.4,-2.9,-0.9,0.4
108,2015-01-02 6:00,-8.3,,2.9,270,59,1.9,-14.9,1013.3,1024.5,,,,,4,4,Ac,32,1800,,,-5.7,-4.5,-3,-1,0.4
108,2015-01-02 7:00,-8.8,,1.6,270,63,2,-14.5,1013.3,1024.6,,,,,4,4,Ac,32,1800,,,-6.4,-5,-3.2,-1,0.3
108,2015-01-02 8:00,-8.9,,1.5,290,63,2,-14.6,1013,1024.3,0,0.01,,,4,4,Ac,35,1800,,,-6.4,-5.3,-3.3,-1.1,0.3
108,2015-01-02 9:00,-7.6,,3,270,54,1.9,-15.3,1014.1,1025.3,0.2,0.2,,,7,3,AcCi,35,2000,4,,-5.1,-4.5,-3.3,-1.2,0.3
108,2015-01-02 10:00,-6.7,,2.7,290,48,1.8,-15.9,1014.2,1025.4,0.4,0.46,,,6,3,ScCi,10,2000,,,-3.3,-3.5,-2.9,-1.2,0.3
108,2015-01-02 11:00,-5.3,,3.4,270,43,1.8,-15.9,1014.2,1025.3,0.9,0.99,,,3,3,Ac,35,1700,,,0,-2.3,-2.5,-1.1,0.3
108,2015-01-02 12:00,-3.8,,5,270,37,1.7,-16.3,1013.3,1024.3,1,1.51,,,0,0,,,1700,,,0.3,-1.4,-1.9,-0.9,0.3
108,2015-01-02 13:00,-3.4,,6,290,34,1.6,-17,1012.9,1023.9,1,1.68,,,0,0,,,1700,,,1.5,-0.9,-1.5,-0.8,0.2
108,2015-01-02 14:00,-2.8,,5.8,290,31,1.5,-17.6,1013.2,1024.2,1,1.61,,,0,0,,,1800,,,0.8,-0.6,-1.1,-0.6,0.3
108,2015-01-02 15:00,-2.2,,5.1,290,28,1.5,-18.2,1013.5,1024.5,1,1.34,,,0,0,,,1800,1,,0.8,-0.4,-1,-0.5,0.2
108,2015-01-02 16:00,-2,,5.1,270,29,1.5,-17.7,1014.1,1025.1,1,0.87,,,0,0,,,1800,,,0.3,-0.4,-0.8,-0.4,0.3
108,2015-01-02 17:00,-3.1,,4.3,270,32,1.6,-17.5,1014.8,1025.8,1,0.37,,,0,0,,,2000,,,-0.4,-0.7,-0.8,-0.4,0.3
108,2015-01-02 18:00,-4.2,,4.7,270,34,1.5,-17.7,1015.2,1026.3,0.1,0.03,,,0,0,,,2000,,,-1.8,-1.4,-0.9,-0.3,0.3
108,2015-01-02 19:00,-4.7,,4.6,270,38,1.6,-16.8,1015.7,1026.8,,,,,,,,,,,,-2.9,-1.9,-1.1,-0.3,0.3
108,2015-01-02 20:00,-5.2,,3.1,290,42,1.7,-16.1,1016.2,1027.3,,,,,,,,,,,,-3.7,-2.4,-1.4,-0.4,0.3
108,2015-01-02 21:00,-5.7,,2.4,320,46,1.8,-15.5,1016.6,1027.8,,,,,0,0,,,2000,4,,-4.5,-3.1,-1.8,-0.5,0.3
108,2015-01-02 22:00,-6.2,,2.6,290,47,1.8,-15.7,1016.5,1027.7,,,,,,,,,,,,-5.1,-3.6,-2.2,-0.6,0.2
108,2015-01-02 23:00,-6.6,,2.6,320,50,1.9,-15.3,1016.3,1027.5,,,,,,,,,,,,-5.5,-3.9,-2.4,-0.7,0.3
108,2015-01-03 0:00,-7.3,,3.1,270,52,1.8,-15.4,1016.4,1027.6,,,,,0,0,,,2000,,,-5.9,-4.3,-2.7,-0.9,0.2
108,2015-01-03 1:00,-8.1,,2.1,270,56,1.9,-15.3,1016.2,1027.5,,,,,,,,,,,,-6.3,-4.8,-3,-1.1,0.2
108,2015-01-03 2:00,-8.2,,0.6,270,56,1.8,-15.4,1015.9,1027.2,,,,,,,,,,,,-6.6,-5.1,-3.2,-1.2,0.2
108,2015-01-03 3:00,-8.4,,1.1,320,57,1.8,-15.4,1016.2,1027.5,,,,,0,0,,,2000,4,,-6.8,-5.4,-3.4,-1.3,0.2
108,2015-01-03 4:00,-8.9,,0.8,360,59,1.8,-15.4,1015.3,1026.6,,,,,0,0,,,2000,,,-7,-5.7,-3.7,-1.4,0.1
108,2015-01-03 5:00,-9.2,,1.9,50,55,1.7,-16.5,1015.2,1026.5,,,,,0,0,,,2000,,,-7.2,-5.8,-3.8,-1.5,0.1
108,2015-01-03 6:00,-9.1,,0.4,0,54,1.7,-16.7,1015.5,1026.8,,,,,0,0,,,2000,,,-7.3,-5.9,-4,-1.6,0.1
108,2015-01-03 7:00,-8.9,,0.4,0,57,1.8,-15.8,1015.6,1026.9,,,,,0,0,,,2000,,,-7.4,-6.1,-4.1,-1.8,0.1
108,2015-01-03 8:00,-8.8,,1,20,60,1.9,-15.1,1015.7,1027,0,0.01,,,0,0,,,1800,,,-7.3,-6,-4.2,-1.9,0
108,2015-01-03 9:00,-7.6,,2.5,50,58,2,-14.4,1016.2,1027.4,1,0.29,,,0,0,,,1800,4,,-5.8,-5.2,-4.1,-1.9,0.1
108,2015-01-03 10:00,-5.5,,2.3,50,53,2.2,-13.5,1016.4,1027.5,1,0.69,,,8,8,Sc,10,2000,,,-2.6,-3.6,-3.5,-1.9,0
108,2015-01-03 11:00,-3,,2.5,70,43,2.1,-13.8,1015.8,1026.8,0.8,1.09,,,1,1,Sc,10,1600,,,0,-2.2,-2.7,-1.6,0
108,2015-01-03 12:00,-1.4,,2.4,70,38,2.1,-13.9,1014.4,1025.4,1,1.46,,,1,0,Ci,,1600,,,0.5,-1.1,-2.1,-1.3,0
108,2015-01-03 13:00,0,,2.8,70,38,2.3,-12.6,1012.8,1023.7,1,1.62,,,1,0,Ci,,1500,,,2.2,-0.5,-1.5,-1.1,0
108,2015-01-03 14:00,1.6,,1.8,70,37,2.5,-11.5,1011.7,1022.5,1,1.52,,,2,0,Ci,,1700,,,1.9,-0.1,-1.1,-0.8,0
108,2015-01-03 15:00,2.2,,1,20,39,2.8,-10.3,1011.1,1021.9,1,1.21,,,4,2,ScCi,10,1500,1,,2.1,0,-0.8,-0.6,0
108,2015-01-03 16:00,2.4,,2.6,230,49,3.6,-7.2,1011,1021.8,0.9,0.54,,,7,7,Sc,10,1700,,,0.5,0,-0.7,-0.5,0
108,2015-01-03 17:00,1.3,,4.3,230,60,4,-5.6,1010.8,1021.6,0.2,0.21,,,8,8,Sc,10,1700,,,0.2,0,-0.6,-0.5,0
108,2015-01-03 18:00,1,,1.6,230,63,4.2,-5.2,1010.2,1021,0,0.02,,,9,9,Sc,10,1500,,,0.2,0,-0.6,-0.4,0
108,2015-01-03 19:00,1,,2.4,230,63,4.2,-5.2,1010.2,1021,,,,,,,,,,,,0.2,0,-0.5,-0.4,0
108,2015-01-03 20:00,1.1,,3,230,64,4.2,-4.9,1010.1,1020.9,,,,,,,,,,,,0.2,0,-0.5,-0.3,0
108,2015-01-03 21:00,1,,3.4,200,69,4.5,-4,1009.7,1020.5,,,,,8,3,ScAc,10,1800,1,,0.2,0,-0.4,-0.3,0
108,2015-01-03 22:00,0.9,,2.9,230,73,4.8,-3.4,1009,1019.8,,,,,,,,,,,,0.1,0,-0.4,-0.3,0
108,2015-01-03 23:00,0.7,,1,90,73,4.7,-3.5,1008.8,1019.6,,,,,,,,,,,,0.1,-0.1,-0.4,-0.3,0
108,2015-01-04 0:00,0.7,,0.6,140,71,4.6,-3.9,1008.5,1019.3,,,,,9,9,Sc,10,1600,,,0.1,0,-0.4,-0.2,0
108,2015-01-04 1:00,0.9,,1.1,70,72,4.7,-3.5,1008.3,1019.1,,,,,,,,,,,,0.1,0,-0.4,-0.2,0
108,2015-01-04 2:00,0.9,,2.2,70,70,4.6,-3.9,1008.2,1019,,,,,,,,,,,,0.1,0,-0.4,-0.2,0.1
108,2015-01-04 3:00,0.5,,2.4,50,67,4.2,-4.9,1008,1018.8,,,,,8,8,Sc,10,1500,1,,0.1,0,-0.4,-0.2,0.1
108,2015-01-04 4:00,0.3,,2.8,50,67,4.2,-5.1,1007.2,1018,,,,,8,8,Sc,10,1500,,,0,0,-0.3,-0.2,0.1
108,2015-01-04 5:00,0.3,,2.2,50,66,4.1,-5.3,1006.6,1017.4,,,,,7,7,Sc,10,1500,,,0,0,-0.3,-0.2,0.1
108,2015-01-04 6:00,0.2,,3.5,70,66,4.1,-5.4,1006.3,1017.1,,,,,8,8,Sc,10,1400,,,0,0,-0.3,-0.2,0.1
108,2015-01-04 7:00,0.3,,3,70,65,4.1,-5.5,1006.7,1017.5,,,,,8,8,Sc,10,1400,,,0,0,-0.3,-0.2,0.1
108,2015-01-04 8:00,0.4,,3.1,50,66,4.2,-5.2,1006.9,1017.7,0,0,,,8,8,Sc,10,1200,,,0,0,-0.3,-0.2,0.1
108,2015-01-04 9:00,0.6,0,2.5,70,67,4.3,-4.8,1007.4,1018.2,0,0.07,,,8,8,Sc,10,1200,4,1,0,0,-0.3,-0.2,0.1
108,2015-01-04 10:00,1.3,,3.2,50,65,4.4,-4.5,1007.6,1018.4,0,0.27,,,6,6,Sc,10,1100,,,0.2,0.1,-0.3,-0.1,0.1
108,2015-01-04 11:00,2.5,,2.6,50,63,4.6,-3.8,1007.8,1018.5,0.4,0.57,,,8,8,Sc,10,1100,,,0.7,0.3,-0.3,-0.1,0.2
108,2015-01-04 12:00,3.4,,2.3,50,59,4.6,-3.8,1007.2,1017.9,0,0.64,,,8,8,Sc,10,1100,,,1.9,0.4,-0.2,-0.1,0.2
108,2015-01-04 13:00,4.2,,2.6,50,59,4.9,-3.1,1006.7,1017.3,0.1,0.78,,,7,7,Sc,10,1200,,,2.6,0.5,-0.2,-0.1,0.2
108,2015-01-04 14:00,5.6,,0.8,90,58,5.3,-2,1006.7,1017.3,0.4,0.91,,,3,3,Sc,10,1100,,,3.8,0.6,-0.2,0,0.2
108,2015-01-04 15:00,8.2,,1.3,200,58,6.3,0.4,1006.7,1017.2,1,1.11,,,0,0,,,1000,1,,4.1,0.8,-0.2,0,0.2
108,2015-01-04 16:00,8.2,,1.8,200,61,6.6,1.1,1007.1,1017.6,1,0.69,,,0,0,,,1000,,,1.9,0.7,-0.2,0,0.3
108,2015-01-04 17:00,6.6,,0.9,290,67,6.5,0.8,1007.4,1017.9,0.7,0.26,,,1,1,Sc,10,900,,40,0.1,0.5,-0.2,0,0.2
108,2015-01-04 18:00,4.9,,1.1,290,73,6.3,0.4,1007.8,1018.4,0,0.02,,,2,2,Sc,10,700,,40,0.3,0.2,-0.2,-0.1,0.2
108,2015-01-04 19:00,3.9,,0.4,0,77,6.2,0.2,1008.4,1019.1,,,,,,,,,,,40,0.2,0.2,-0.2,-0.1,0.2
108,2015-01-04 20:00,2.9,,1.2,50,81,6.1,0,1008.8,1019.5,,,,,,,,,,,4019,0.2,0.1,-0.2,-0.1,0.1
108,2015-01-04 21:00,2.2,,1.3,50,82,5.9,-0.5,1009.2,1019.9,,,,,0,0,,,600,1,19,0,0.1,-0.2,-0.1,0.2
108,2015-01-04 22:00,1.3,,1.9,50,86,5.8,-0.7,1009.3,1020.1,,,,,,,,,,,19,0,0.1,-0.2,-0.1,0.2
108,2015-01-04 23:00,0.6,,2.2,50,89,5.7,-1,1009.2,1020,,,,,,,,,,,19,0,0.2,-0.2,0,0.2
108,2015-01-05 0:00,0.3,,2.7,50,89,5.6,-1.3,1008.9,1019.7,,,,,0,0,,,400,,19,-0.1,0.1,-0.2,-0.1,0.2
108,2015-01-05 1:00,-0.3,,2.4,50,92,5.5,-1.4,1009,1019.8,,,,,,,,,,,19,-0.2,0.1,-0.2,0,0.2
108,2015-01-05 2:00,-0.5,,1.7,20,95,5.6,-1.2,1010,1020.9,,,,,,,,,,,19,-0.3,0,-0.2,-0.1,0.2
108,2015-01-05 3:00,-0.7,,2.3,50,95,5.5,-1.4,1010.5,1021.4,,,,,0,0,,,300,4,19,-0.5,-0.1,-0.2,-0.1,0.2
108,2015-01-05 4:00,-0.9,,2.6,20,95,5.4,-1.6,1010.7,1021.6,,,,,0,0,,,300,,19,-0.9,-0.3,-0.2,-0.1,0.2
108,2015-01-05 5:00,-0.9,,2.7,70,94,5.4,-1.7,1009.9,1020.8,,,,,6,6,St,7,300,,19,-0.9,-0.4,-0.3,-0.1,0.2
108,2015-01-05 6:00,-0.5,,3.3,70,90,5.3,-1.9,1009.7,1020.6,,,,,6,6,St,8,400,,19,-0.9,-0.5,-0.3,0,0.2
108,2015-01-05 7:00,-0.2,,3.4,70,87,5.2,-2.1,1008.9,1019.8,,,,,6,6,St,7,400,,19,-0.9,-0.5,-0.4,-0.1,0.2
108,2015-01-05 8:00,0,,3.9,70,86,5.3,-2,1009,1019.8,0,0.01,,,5,5,St,8,400,,19,-1,-0.4,-0.4,-0.1,0.2
108,2015-01-05 9:00,0.6,,3.4,70,82,5.2,-2.1,1010,1020.8,0,0.18,,,7,5,StCi,8,500,4,19,0,-0.1,-0.4,-0.1,0.2
108,2015-01-05 10:00,2.3,,3,70,77,5.6,-1.3,1010.4,1021.2,0.8,0.57,,,6,0,Ci,,500,,19,0.2,0.1,-0.3,-0.1,0.3
108,2015-01-05 11:00,4.2,,3.7,70,70,5.8,-0.7,1009.7,1020.4,1,1.03,,,5,0,Ci,,500,,19,1.1,0.4,-0.2,0,0.3
108,2015-01-05 12:00,6,,3.1,70,60,5.6,-1.1,1008.1,1018.7,1,1.37,,,5,0,Ci,,500,,4019,2.1,0.6,-0.2,0,0.3
108,2015-01-05 13:00,6.2,,3.6,70,60,5.7,-1,1006.2,1016.8,0.5,0.92,,,8,0,Ci,,500,,40,3.5,0.7,-0.2,0,0.3
108,2015-01-05 14:00,7.4,,3.2,90,53,5.5,-1.5,1005.2,1015.7,0.6,0.99,,,5,0,Ci,,500,,40,4.9,1,-0.1,0,0.3
108,2015-01-05 15:00,7.9,,2.3,70,52,5.6,-1.3,1004.8,1015.3,0.5,0.81,,,9,6,AcCi,40,500,1,40,3.9,1.2,-0.1,0,0.4
108,2015-01-05 16:00,7.5,,2.7,50,52,5.4,-1.7,1004.4,1014.9,0,0.42,,,9,2,ScAc,10,500,,40,2.5,1.1,-0.1,0,0.4
108,2015-01-05 17:00,7,,2.9,50,53,5.3,-1.9,1004.3,1014.8,0,0.16,,,10,5,ScAs,10,600,,40,1.4,0.8,-0.1,0,0.3
108,2015-01-05 18:00,6.3,,2,20,55,5.3,-2,1003.8,1014.3,0,0.02,,,10,5,ScAs,10,600,,40,0.6,0.6,-0.2,0,0.3
108,2015-01-05 19:00,6.1,,0.5,20,53,5,-2.7,1003.8,1014.3,,,,,,,,,,,40,0.7,0.6,-0.1,0,0.3
108,2015-01-05 20:00,6,,0.9,360,58,5.4,-1.6,1002.9,1013.4,,,,,10,8,ScNs,10,500,,4001,0.8,0.7,-0.1,0,0.3
108,2015-01-05 21:00,6,0,1.6,320,62,5.8,-0.7,1002.2,1012.7,,,,,10,7,ScAs,10,500,1,4001,1,0.7,-0.1,0,0.4
108,2015-01-05 22:00,5.8,,1.6,360,66,6.1,0,1001.5,1012,,,,,10,8,ScNs,10,600,,4001,1.1,0.8,-0.1,0,0.3
108,2015-01-05 23:00,5.1,,2.8,270,77,6.7,1.3,1001.1,1011.7,,,,,10,8,ScNs,9,500,,4001,1.1,0.7,-0.1,0,0.3
108,2015-01-06 0:00,4.1,0.4,1.9,270,89,7.3,2.4,1000.4,1011,,,,,10,7,StNs,6,200,,401901,1,0.6,-0.2,0,0.3
108,2015-01-06 1:00,3.1,,3.1,320,94,7.2,2.2,1000.2,1010.8,,,,,10,8,StNs,6,150,,1901,1,0.5,-0.1,0,0.3
108,2015-01-06 2:00,2.4,,3.4,270,97,7,1.9,1000.3,1010.9,,,,,10,8,StNs,5,120,,1901,0.8,0.4,-0.2,0,0.3
108,2015-01-06 3:00,1.7,3,3,270,98,6.8,1.4,1001,1011.7,,,,,10,8,StNs,5,120,1,1901,0.6,0.4,-0.2,0,0.3
108,2015-01-06 4:00,1.4,,3.3,290,98,6.6,1.1,1000.6,1011.3,,,,,10,7,ScAs,8,150,,190601,0.5,0.4,-0.2,0,0.3
108,2015-01-06 5:00,0.9,,4.5,270,94,6.1,0,1001,1011.7,,,,,7,7,Sc,8,400,,19,0.3,0.3,-0.2,0,0.3
108,2015-01-06 6:00,-0.1,0,5.8,290,83,5,-2.6,1001.5,1012.3,,,,,7,7,Sc,8,800,,19,0.2,0.2,-0.2,0,0.3
108,2015-01-06 7:00,-1.8,,5.4,290,76,4.1,-5.4,1002.6,1013.4,,,,,4,4,Sc,10,1500,,19,0.2,0.1,-0.2,0,0.3
108,2015-01-06 8:00,-3.3,,5.8,290,67,3.2,-8.5,1004.2,1015.1,0,0.01,,,3,3,Sc,10,2000,,,0.1,0.1,-0.1,0,0.3
108,2015-01-06 9:00,-4,,5,290,53,2.4,-12.1,1005.5,1016.5,1,0.31,,,0,0,,,2000,4,,0,0.1,-0.1,0,0.3
108,2015-01-06 10:00,-3.7,,5.1,290,47,2.2,-13.3,1006.3,1017.3,1,0.83,,,0,0,,,2000,,,0.3,0.2,-0.1,0,0.4
108,2015-01-06 11:00,-3,,4.4,290,38,1.9,-15.3,1006.7,1017.6,1,1.3,,,0,0,,,2000,,,0.3,0.3,-0.1,0,0.4
108,2015-01-06 12:00,-2.9,,5.3,290,36,1.8,-15.9,1006.7,1017.6,1,1.63,,,0,0,,,2000,,,1.8,0.3,-0.1,0,0.4
108,2015-01-06 13:00,-2,,4.7,290,32,1.7,-16.5,1006.4,1017.3,1,1.78,,,0,0,,,2000,,,4.9,0.3,-0.2,0,0.4
108,2015-01-06 14:00,-1.5,,5.5,290,32,1.8,-16,1006.1,1017,1,1.7,,,0,0,,,2000,,,3.8,0.3,-0.1,0,0.4
108,2015-01-06 15:00,-1.5,,5,290,29,1.6,-17.2,1006.6,1017.5,1,1.44,,,0,0,,,2000,1,,3,0.3,-0.2,0,0.3
108,2015-01-06 16:00,-1.5,,5.3,270,29,1.6,-17.2,1007.5,1018.4,1,0.99,,,0,0,,,2000,,,0.2,0.2,-0.2,0,0.3
108,2015-01-06 17:00,-3,,4.5,290,31,1.5,-17.7,1008.2,1019.2,1,0.45,,,1,0,Ci,,2000,,,0.2,0.1,-0.1,0,0.4
108,2015-01-06 18:00,-4.5,,1.6,50,33,1.5,-18.3,1008.7,1019.7,0.2,0.03,,,1,0,Ci,,2000,,,-0.3,0,-0.2,0,0.4
108,2015-01-06 19:00,-5.4,,4.1,320,38,1.6,-17.5,1009.5,1020.6,,,,,,,,,,,,-0.7,-0.1,-0.2,0,0.4
108,2015-01-06 20:00,-6.2,,3.9,290,42,1.6,-17,1010.1,1021.2,,,,,,,,,,,,-1,-0.2,-0.1,0,0.4
108,2015-01-06 21:00,-6.7,,3.7,320,45,1.7,-16.6,1010.4,1021.5,,,,,1,0,Ci,,2000,4,,-1.4,-0.5,-0.2,0,0.4
108,2015-01-06 22:00,-7.2,,3,20,44,1.6,-17.4,1010.8,1022,,,,,,,,,,,,-1.7,-0.8,-0.2,0,0.3
108,2015-01-06 23:00,-7.4,,3.3,360,42,1.5,-18.1,1011.2,1022.4,,,,,,,,,,,,-2,-1.2,-0.3,0,0.4
108,2015-01-07 0:00,-7.6,,2.7,340,42,1.5,-18.3,1010.8,1022,,,,,2,0,Ci,,2000,,,-2.3,-1.7,-0.5,0,0.4
108,2015-01-07 1:00,-7.8,,2.5,270,40,1.4,-19,1011.1,1022.3,,,,,,,,,,,,-2.4,-1.9,-0.6,0,0.4
108,2015-01-07 2:00,-8.3,,1,250,41,1.3,-19.2,1010.9,1022.1,,,,,,,,,,,,-2.7,-2,-0.7,0,0.4
108,2015-01-07 3:00,-8.7,,0.7,270,40,1.3,-19.8,1010.9,1022.1,,,,,0,0,,,2000,4,,-3.2,-2.4,-0.8,0,0.4
108,2015-01-07 4:00,-8.5,,2.6,270,39,1.3,-20,1010.6,1021.8,,,,,1,0,Ci,,2000,,,-3.7,-2.8,-1.1,0,0.4
108,2015-01-07 5:00,-8.5,,2,270,40,1.3,-19.7,1010.4,1021.6,,,,,1,0,Ci,,2000,,,-4.1,-3.1,-1.3,0,0.4
108,2015-01-07 6:00,-8.4,,3,270,37,1.2,-20.5,1010.8,1022,,,,,0,0,,,2000,,,-4.6,-3.5,-1.5,0,0.4
108,2015-01-07 7:00,-8.8,,1,290,37,1.2,-20.8,1010.9,1022.1,,,,,0,0,,,2000,,,-5,-3.8,-1.7,-0.1,0.4
108,2015-01-07 8:00,-8.6,,3,270,35,1.1,-21.3,1010.9,1022.1,0,0.01,,,0,0,,,2000,,,-5.3,-4,-1.9,-0.1,0.4
108,2015-01-07 9:00,-7.8,,2.7,290,34,1.2,-20.9,1011.5,1022.7,1,0.31,,,0,0,,,2000,4,,-4.2,-3.6,-2.1,-0.2,0.4
108,2015-01-07 10:00,-6.4,,3.3,320,31,1.2,-20.7,1012.1,1023.2,1,0.84,,,0,0,,,2000,,,-1.3,-2.3,-1.8,-0.1,0.4
108,2015-01-07 11:00,-5.2,,3.9,290,30,1.2,-20.1,1012.2,1023.3,1,1.31,,,0,0,,,1800,,,0.2,-1.3,-1.4,-0.1,0.4
108,2015-01-07 12:00,-3.3,,1.9,270,26,1.2,-20.1,1011.8,1022.8,1,1.61,,,0,0,,,1800,,,0.5,-0.6,-1,-0.1,0.4
108,2015-01-07 13:00,-2.2,,3.2,270,26,1.4,-19.1,1010.8,1021.7,1,1.71,,,0,0,,,1800,,,1.5,-0.3,-0.8,-0.1,0.4
108,2015-01-07 14:00,-1.9,,3.4,290,24,1.3,-19.8,1010.5,1021.4,1,1.63,,,0,0,,,1800,,,1.2,-0.1,-0.6,-0.1,0.4
108,2015-01-07 15:00,-1,,2.9,270,24,1.4,-19,1010.9,1021.8,1,1.36,,,0,0,,,2000,1,,1.3,0,-0.5,-0.1,0.4
108,2015-01-07 16:00,-1.1,,2.5,290,24,1.4,-19.1,1011.3,1022.2,1,0.92,,,2,0,Ci,,2000,,,0.2,-0.1,-0.5,-0.1,0.4
